position,number,name,height-in,weight-lb,age,from,team,salary-14-15
Guard,0,Russell Westbrook,75,200,26,UCLA,Oklahoma City Thunder,15719062
Forward-center,12,LaMarcus Aldridge,83,240,29,Texas,Portland Trail Blazers,16006000
Guard,5,Will Barton,78,175,23,Memphis,Portland Trail Blazers,915243
Swingman,88,Nicolas Batum,80,200,26,France,Portland Trail Blazers,11765500
Guard,25,Steve Blake,75,172,34,Maryland,Portland Trail Blazers,2077000
Forward,18,Victor Claver,81,224,26,Spain,Portland Trail Blazers,1370000
Guard,23,Allen Crabbe,78,210,22,California,Portland Trail Blazers,862000
Forward-center,19,Joel Freeland,82,225,27,FCOT (UK),Portland Trail Blazers,3013512
Center,35,Chris Kaman,84,265,32,Central Michigan,Portland Trail Blazers,4800000
Center,11,Meyers Leonard,85,245,22,Illinois,Portland Trail Blazers,2317920
Guard,0,Damian Lillard,75,195,24,Weber State,Portland Trail Blazers,3340920
Center,42,Robin Lopez,84,255,26,Stanford,Portland Trail Blazers,6124728
Swingman,2,Wesley Matthews,77,220,28,Marquette,Portland Trail Blazers,7245640
Guard,3,C. J. McCollum,76,200,23,Lehigh,Portland Trail Blazers,2421000
Forward,41,Thomas Robinson,82,237,23,Kansas,Portland Trail Blazers,3678360
Forward,1,Dorell Wright,81,205,29,South Kent (CT),Portland Trail Blazers,3150000
Forward,33,Trevor Booker,80,240,27,Clemson,Utah Jazz,5000000
Guard,3,Trey Burke,73,190,22,Michigan,Utah Jazz,2548560
Guard,10,Alec Burks,78,211,23,Colorado,Utah Jazz,3034356
Guard,21,Ian Clark,75,173,23,Belmont,Utah Jazz,816482
Forward,40,Jeremy Evans,81,197,27,Western Kentucky,Utah Jazz,1794871
Guard,11,Dante Exum,77,190,19,Lake Ginninderra (AUS),Utah Jazz,3615000
Forward-center,15,Derrick Favors,82,268,23,Georgia Tech,Utah Jazz,12833333
Center,27,Rudy Gobert,85,245,22,France,Utah Jazz,1127400
Swingman,20,Gordon Hayward,80,220,24,Butler,Utah Jazz,14746000
Forward,5,Rodney Hood,80,215,22,Duke,Utah Jazz,1290360
Swingman,2,Joe Ingles,80,216,27,Lake Ginninderra (AUS),Utah Jazz,507336
Forward-center,0,Enes Kanter,83,247,22,Stoneridge Prep (CA),Utah Jazz,5694674
Guard,23,Toure' Murry,77,195,25,Wichita State,Utah Jazz,1000000
Forward,16,Steve Novak,82,235,31,Marquette,Utah Jazz,3445946
Guard,19,Leandro Barbosa,75,194,32,Brazil,Golden State Warriors,1448490
Forward,40,Harrison Barnes,80,210,22,North Carolina,Golden State Warriors,3049920
Center,12,Andrew Bogut,84,260,30,Utah,Golden State Warriors,12972973
Guard,30,Stephen Curry,75,185,26,Davidson,Golden State Warriors,10629213
Center,31,Festus Ezeli,83,255,25,Vanderbilt,Golden State Warriors,1112880
Forward,23,Draymond Green,79,230,24,Michigan State,Golden State Warriors,915243
Swingman,7,Justin Holiday,78,185,25,Washington,Golden State Warriors,816482
Swingman,9,Andre Iguodala,78,207,30,Arizona,Golden State Warriors,12289544
Center,1,Ognjen Kuzmic,85,231,24,Serbia,Golden State Warriors,816482
Forward-center,10,David Lee,81,240,31,Florida,Golden State Warriors,15012000
Guard,34,Shaun Livingston,79,175,29,Peoria Central HS (IL),Golden State Warriors,5305000
Swingman,4,Brandon Rush,78,233,29,Kansas,Golden State Warriors,1145685
Forward-center,5,Marreese Speights,82,255,27,Florida,Golden State Warriors,3657500
Swingman,11,Klay Thompson,79,205,24,Washington State,Golden State Warriors,3075880
Forward,22,Matt Barnes,79,226,34,UCLA,Los Angeles Clippers,3396250
Swingman,25,Reggie Bullock,79,205,23,North Carolina,Los Angeles Clippers,1200720
Guard,11,Jamal Crawford,77,200,34,Michigan,Los Angeles Clippers,5450000
Guard,9,Jared Cunningham,76,195,23,Oregon State,Los Angeles Clippers,915243
Forward,0,Glen Davis,80,289,28,LSU,Los Angeles Clippers,1227985
Swingman,14,Chris Douglas-Roberts,79,210,27,Memphis,Los Angeles Clippers,915243
Guard,1,Jordan Farmar,74,180,28,UCLA,Los Angeles Clippers,2077000
Forward,32,Blake Griffin,82,251,25,Oklahoma,Los Angeles Clippers,17674612
Center,10,Spencer Hawes,85,245,26,Washington,Los Angeles Clippers,5305000
Center,6,DeAndre Jordan,83,265,26,Texas A&M,Los Angeles Clippers,11440124
Guard,3,Chris Paul,72,175,29,Wake Forest,Los Angeles Clippers,20068563
Guard,4,J. J. Redick,76,190,30,Duke,Los Angeles Clippers,6583500
Forward,15,Hedo Turkoglu,82,220,35,Turkey,Los Angeles Clippers,1448490
Center,13,Ekpe Udoh,82,245,27,Baylor,Los Angeles Clippers,981084
Guard,30,C. J. Wilcox,77,201,24,Washington,Los Angeles Clippers,1109760
Forward-center,5,Carlos Boozer,81,266,33,Duke,Los Angeles Lakers,3250000
Guard,24,Kobe Bryant,78,205,36,Lower Merion HS (PA),Los Angeles Lakers,23500000
Guard,6,Jordan Clarkson,77,188,22,Missouri,Los Angeles Lakers,507336
Forward,21,Ed Davis,82,225,25,North Carolina,Los Angeles Lakers,981084
Guard,2,Wayne Ellington,76,200,27,North Carolina,Los Angeles Lakers,1063384
Guard,7,Xavier Henry,78,220,23,Kansas,Los Angeles Lakers,1082000
Forward-center,27,Jordan Hill,82,235,27,Arizona,Los Angeles Lakers,9000000
Forward,11,Wesley Johnson,79,215,27,Syracuse,Los Angeles Lakers,981084
Forward,4,Ryan Kelly,83,230,23,Duke,Los Angeles Lakers,1650000
Guard,17,Jeremy Lin,75,200,26,Harvard,Los Angeles Lakers,8374646
Guard,10,Steve Nash,75,178,40,Santa Clara,Los Angeles Lakers,9701000
Guard,9,Ronnie Price,74,190,31,Utah Valley,Los Angeles Lakers,1316809
Forward,30,Julius Randle,81,250,20,Kentucky,Los Angeles Lakers,2997360
Center,50,Robert Sacre,84,260,25,Gonzaga,Los Angeles Lakers,915243
Swingman,0,Nick Young,79,210,29,Southern California,Los Angeles Lakers,4994420
Guard,2,Eric Bledsoe,73,195,25,Kentucky,Phoenix Suns,12173913
Guard,1,Goran Dragic,75,190,28,Slovenia,Phoenix Suns,7500000
Swingman,10,Zoran Dragic,77,200,25,Slovenia,Phoenix Suns,1962103
Guard,4,Tyler Ennis,74,180,20,Syracuse,Phoenix Suns,1590720
Guard,20,Archie Goodwin,77,198,20,Kentucky,Phoenix Suns,1112280
Swingman,14,Gerald Green,80,210,28,Gulf Shores Academy (TX),Phoenix Suns,3500000
Center,21,Alex Len,85,265,21,Maryland,Phoenix Suns,3649920
Forward,15,Marcus Morris,81,235,25,Kansas,Phoenix Suns,2943221
Forward,11,Markieff Morris,82,245,25,Kansas,Phoenix Suns,2989239
Forward-center,22,Miles Plumlee,83,255,26,Duke,Phoenix Suns,1169880
Forward,43,Shavlik Randolph,82,236,31,Duke,Phoenix Suns,1227985
Guard,3,Isaiah Thomas,69,185,25,Washington,Phoenix Suns,7238606
Forward,40,Anthony Tolliver,80,240,29,Creighton,Phoenix Suns,3000000
Forward,17,P. J. Tucker,78,224,29,Texas,Phoenix Suns,5700000
Forward,12,T. J. Warren,80,220,21,North Carolina State,Phoenix Suns,1953120
Forward,18,Omri Casspi,81,225,26,Israel,Sacramento Kings,1063384
Guard,7,Darren Collison,72,175,27,UCLA,Sacramento Kings,4797664
Center,15,DeMarcus Cousins,83,270,24,Kentucky,Sacramento Kings,13701250
Forward,30,Reggie Evans,80,245,34,Iowa,Sacramento Kings,1768653
Forward,8,Rudy Gay,80,230,28,Connecticut,Sacramento Kings,19317325
Center,5,Ryan Hollins,84,240,30,UCLA,Sacramento Kings,1316809
Forward,24,Carl Landry,81,248,31,Purdue,Sacramento Kings,6500000
Guard,3,Ray McCallum,75,190,23,Detroit,Sacramento Kings,816482
Guard,23,Ben McLemore,77,195,21,Kansas,Sacramento Kings,3026280
Forward-center,25,Eric Moreland,82,218,23,Oregon State,Sacramento Kings,507336
Guard,9,Ramon Sessions,75,190,28,Nevada,Sacramento Kings,2077000
Guard,10,Nik Stauskas,78,207,21,Michigan,Sacramento Kings,2745840
Forward-center,34,Jason Thompson,83,250,28,Rider,Sacramento Kings,6037500
Forward,13,Derrick Williams,80,240,23,Arizona,Sacramento Kings,6331404
