AAC,Central Florida,Cincinnati,Connecticut,East Carolina,Houston,Memphis,South Florida,Southern Methodist,Temple,Tulane,Tulsa
ACC,Boston College,Clemson,Duke,Carolina,Georgia Tech,Louisville,Miami (Fla.),North Carolina,North Carolina State,Pittsburgh,Syracuse,Virginia,Virginia Tech,Wake Forest
Big 10,Illinois,Indiana,Iowa,Maryland,Michigan,Michigan State,Minnesota,Nebraska,Northwestern,Ohio State,Penn State,Purdue,Rutgers,Wisconsin
Big 12,Baylor,Iowa State,Kansas,Kansas State,Oklahoma,Oklahoma State,Texas,Texas Christian,Texas Tech,West Virginia
C-USA,Alabama-Birmingham,Florida Atlantic,Florida International,Louisiana Tech,Marshall,Middle Tennessee State,North Texas,Old Dominion,Rice,Southern Mississippi,Texas-El Paso,Texas-San Antonio,Western Kentucky
Pac 12,Arizona,Arizona State,California,UCLA,Colorado,Oregon,Oregon State,USC,Stanford,Utah,Washington,Washington State
SEC,Alabama,Arkansas,Auburn,LSU,Mississippi,Mississippi State,Texas A&M;,Florida,Georgia,Kentucky,Missouri,South Carolina,Tennessee,Vanderbilt
